date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2017-12-01,51,0,78,0,30,0,0,58,25,26,22,40,38,50,14,34,52,32,56,13,0,23,30,33,19,33,2,26,33,45,0,0,0,9,32,0,26,42,0,26,0,5,46,0
2018-01-01,46,0,66,23,30,0,30,61,25,35,24,45,52,45,19,51,52,35,69,15,15,38,25,29,16,41,2,28,36,41,0,0,0,17,26,0,29,27,0,24,1,6,64,0
2018-02-01,50,0,64,0,33,0,36,56,25,42,37,42,62,42,26,51,51,34,65,16,20,25,29,31,17,39,2,28,27,40,0,0,0,12,21,0,27,29,0,31,1,10,66,0
2018-03-01,47,0,62,0,32,0,0,58,26,43,37,44,51,41,10,52,51,32,69,16,17,29,27,33,20,36,2,27,37,35,0,0,0,0,18,0,45,0,0,25,0,22,49,0
2018-04-01,46,0,52,0,27,0,37,54,26,34,38,45,49,44,14,45,54,35,98,20,16,27,48,41,21,36,2,27,0,42,0,0,0,10,30,0,60,0,0,33,1,19,45,0
2018-05-01,47,0,55,0,35,0,42,55,25,31,28,53,54,44,20,34,56,37,69,21,19,25,31,45,21,36,2,27,0,43,0,0,0,0,43,0,78,26,0,37,1,16,50,0
2018-06-01,46,0,55,0,29,0,32,62,26,36,53,55,47,46,20,37,48,38,60,26,16,26,32,50,26,35,2,28,62,47,0,0,0,0,31,0,90,50,0,35,2,0,50,0
2018-07-01,45,48,59,0,33,0,51,61,25,35,23,66,0,49,28,39,39,38,59,33,17,25,27,58,29,36,2,27,21,38,0,0,0,0,28,0,90,42,0,27,1,0,43,0
2018-08-01,48,0,49,0,32,0,35,59,24,41,37,67,32,48,13,32,35,37,60,32,9,22,30,71,29,35,4,26,46,48,0,0,0,13,30,0,69,41,0,88,2,0,39,0
2018-09-01,46,0,53,0,35,0,0,55,27,38,31,47,39,47,22,44,48,38,74,23,0,22,43,53,25,43,4,31,22,39,0,0,11,9,26,0,91,32,0,33,1,0,51,0
