date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price
2022-01-01,36,0,48,0,20,0,32,32,56,76,51,39,34,42,64,29,80,59,65,45,49,75,9,60,34,66,55,55,28,40,0,38,21,32,32,0,11,0
2022-02-01,36,0,44,39,24,68,23,32,60,77,52,37,48,38,50,43,75,65,70,34,43,48,9,42,32,57,42,50,22,50,51,48,30,34,45,0,18,0
2022-03-01,34,0,43,31,27,36,26,35,60,98,62,35,56,42,54,72,74,71,70,38,58,53,9,52,29,65,45,51,33,46,35,23,39,32,45,70,21,0
2022-04-01,36,0,46,32,29,0,26,33,76,80,46,32,47,36,51,43,74,57,59,46,47,49,9,69,28,54,43,46,28,43,34,37,25,29,49,34,16,31
2022-05-01,39,0,46,15,28,0,24,30,48,76,42,31,35,39,51,29,64,70,54,56,34,46,9,65,29,56,36,47,36,37,0,57,17,21,48,37,19,32
2022-06-01,35,0,47,24,36,0,21,36,54,77,53,31,42,37,56,23,75,68,56,46,38,63,8,58,25,71,51,45,74,46,0,42,17,29,59,26,20,27
2022-07-01,100,0,45,20,36,35,21,33,60,68,51,35,33,34,49,19,69,65,49,44,43,52,8,60,27,78,42,47,64,41,0,58,15,24,35,24,19,32
2022-08-01,31,0,44,16,27,0,17,26,50,70,47,35,37,32,44,43,71,59,52,40,23,53,9,62,23,74,33,45,32,45,0,43,15,17,23,39,20,43
2022-09-01,31,0,43,25,29,41,27,30,49,75,58,31,51,36,41,83,77,56,59,40,38,58,9,58,27,66,34,43,26,43,26,60,21,24,50,32,19,0
2022-10-01,29,0,43,18,36,41,22,33,59,72,54,33,49,38,43,54,76,59,62,39,48,49,10,59,24,63,31,48,32,46,52,64,18,21,49,48,10,0
2022-11-01,27,0,41,0,37,0,24,33,49,82,45,30,51,38,48,70,71,58,65,40,37,49,12,57,20,62,27,57,38,44,33,52,34,24,64,44,19,20
2022-12-01,32,0,42,18,27,0,28,28,45,100,37,24,38,38,40,69,68,63,51,42,27,44,14,66,18,58,29,53,21,36,43,22,26,15,43,49,17,0
2023-01-01,30,0,42,16,20,43,28,28,47,89,48,26,35,36,45,29,69,65,58,40,19,50,9,65,23,56,29,53,36,41,0,36,16,20,37,32,25,27
2023-02-01,28,0,38,0,21,0,39,29,48,86,48,25,45,33,44,35,71,60,66,43,21,44,10,57,23,57,21,51,25,40,39,32,23,17,43,51,21,27
2023-03-01,31,0,42,34,23,0,26,32,47,83,37,23,47,35,41,54,67,64,59,38,37,55,9,64,25,58,21,44,26,42,35,51,24,20,53,57,20,22
2023-04-01,33,0,40,15,18,42,20,28,42,73,62,19,40,31,36,30,54,54,44,48,22,39,9,73,24,43,19,43,18,38,26,37,15,16,31,45,26,29
2023-05-01,33,0,43,20,22,0,23,34,50,68,41,22,48,33,48,29,69,68,55,41,34,49,8,66,24,72,25,47,23,45,36,35,20,17,50,63,21,24
2023-06-01,34,0,43,24,19,56,13,31,45,78,46,23,37,35,47,20,69,66,48,42,29,51,8,66,23,69,18,46,18,41,0,45,12,13,41,0,27,36
2023-07-01,33,0,43,17,18,0,23,26,43,66,40,23,29,31,48,21,63,71,46,42,22,49,7,68,25,77,29,46,27,42,0,62,11,19,26,44,32,35
2023-08-01,30,0,41,17,15,0,0,30,43,64,41,23,28,30,45,27,64,64,51,37,16,42,8,63,21,67,27,41,22,40,28,40,10,14,36,32,26,32
2023-09-01,30,0,40,18,18,0,27,26,46,71,39,20,41,32,44,43,66,59,54,35,35,49,8,64,25,59,18,40,33,39,0,35,9,19,40,0,20,33
2023-10-01,28,0,41,14,21,39,12,29,51,69,45,23,50,33,45,40,74,61,55,35,44,40,9,57,22,66,23,40,25,39,35,49,13,17,48,27,25,20
2023-11-01,29,0,44,20,26,0,20,30,49,74,54,21,47,34,43,73,71,68,61,37,34,59,9,57,19,65,27,41,41,32,30,45,11,17,22,35,23,59
2023-12-01,31,0,42,14,21,0,19,26,43,79,45,19,41,38,43,63,76,71,53,44,30,50,9,72,18,61,36,42,18,35,42,36,11,14,38,31,26,22
2024-01-01,30,0,40,21,100,61,25,25,45,76,48,22,32,35,41,24,85,68,57,34,15,53,8,61,22,64,28,41,20,43,0,44,12,16,25,36,21,23
2024-02-01,30,0,42,21,36,0,23,22,43,87,43,19,42,35,41,27,74,58,65,33,18,57,6,64,21,68,30,42,24,47,38,48,10,21,28,41,32,34
2024-03-01,32,0,37,0,26,48,16,26,45,85,51,17,49,40,42,53,70,52,59,34,41,52,7,73,19,74,38,41,19,53,54,43,15,20,37,55,26,49
2024-04-01,34,0,43,23,24,0,18,24,56,72,39,16,38,37,39,23,63,53,51,41,27,57,9,69,24,58,52,39,23,45,42,43,0,19,33,0,21,38
2024-05-01,33,0,45,22,34,0,22,28,47,77,39,16,54,38,45,30,74,62,59,35,31,48,8,65,20,73,38,43,19,44,37,45,0,18,25,0,24,30
2024-06-01,35,0,42,24,27,0,27,29,46,80,48,16,47,39,45,21,80,70,53,44,32,60,8,67,20,74,34,42,25,43,42,47,10,19,46,50,24,29
2024-07-01,39,0,46,26,22,0,32,24,50,70,51,17,44,38,53,22,77,91,53,39,23,59,7,72,23,81,53,49,28,54,0,52,15,21,33,34,28,0
2024-08-01,33,0,42,21,23,0,17,24,50,79,34,22,43,39,52,28,81,57,57,41,16,61,7,75,20,73,37,46,29,48,45,45,12,21,29,0,26,32
2024-09-01,35,0,40,33,23,0,17,26,56,80,75,18,60,40,51,37,85,59,58,38,31,51,8,70,24,65,30,44,17,46,68,50,14,19,40,54,22,36
2024-10-01,34,0,43,0,22,0,41,26,65,82,56,20,68,41,47,30,95,62,61,37,41,52,9,69,24,69,36,45,23,51,46,43,15,28,59,35,31,33
2024-11-01,37,0,43,40,27,0,22,28,56,81,71,20,63,47,56,46,94,60,64,38,33,51,10,65,21,66,36,43,32,46,58,70,23,50,47,55,25,40
2024-12-01,36,0,47,33,23,0,22,25,53,90,62,17,61,43,48,57,89,63,62,42,24,78,11,80,27,65,39,47,27,51,36,78,20,17,43,37,28,53
2025-01-01,36,0,48,0,23,67,0,24,52,78,48,19,47,40,52,23,90,73,58,51,28,58,9,72,26,67,84,46,32,60,0,43,26,30,37,0,26,43
2025-02-01,33,0,46,0,29,0,29,23,53,74,42,18,66,41,48,27,86,61,61,37,22,57,8,66,28,68,63,45,27,48,100,40,20,25,37,44,24,50
