date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2022-09-01,59,0,37,33,83,0,0,60,21,68,59,28,26,51,15,27,73,54,70,9,10,18,48,24,13,16,20,11,0,12,0,65,26,8,24,0,0,55,0
2022-10-01,54,0,38,48,71,0,0,73,21,74,47,30,34,52,13,20,71,53,72,9,15,15,46,27,15,16,23,12,0,17,82,35,19,10,26,0,0,58,0
2022-11-01,55,0,42,44,78,0,0,74,21,92,65,29,32,52,14,36,72,58,78,8,17,12,66,24,12,16,31,12,0,17,0,0,19,10,25,0,0,39,0
2022-12-01,54,0,37,0,63,0,0,69,20,95,58,24,31,49,17,29,66,49,66,9,17,16,72,24,15,16,31,12,0,17,0,0,24,8,28,0,0,47,0
2023-01-01,54,0,38,34,57,0,0,53,21,84,61,24,32,44,16,43,61,55,68,10,14,14,48,24,15,17,30,12,0,15,0,30,24,9,31,0,0,27,0
2023-02-01,51,0,39,0,57,0,0,60,22,65,53,25,21,47,16,39,65,54,71,11,11,15,53,24,17,18,34,12,42,17,0,37,32,9,25,0,0,26,31
2023-03-01,55,0,41,35,65,0,0,70,23,80,69,25,34,53,17,37,80,50,75,12,15,15,48,28,19,19,42,13,22,18,0,42,37,12,27,0,0,50,0
2023-04-01,54,0,44,39,63,22,0,79,22,74,78,29,38,58,18,32,75,60,73,13,22,19,47,32,18,19,45,13,0,20,0,0,25,11,34,0,0,65,0
2023-05-01,80,44,52,0,62,25,54,68,61,69,62,37,47,77,53,54,87,69,81,57,57,48,51,65,52,60,58,51,46,30,0,69,66,51,25,0,0,52,43
2023-06-01,85,58,64,22,67,23,0,78,87,83,62,39,44,91,98,85,91,93,88,92,85,83,57,84,85,91,83,88,35,50,0,71,83,83,34,28,0,47,29
2023-07-01,85,58,69,34,67,22,0,67,86,79,54,39,51,87,87,85,88,89,89,95,85,81,53,82,80,90,83,82,55,44,0,80,76,76,24,0,0,47,39
2023-08-01,80,43,62,0,65,19,0,64,80,76,51,41,37,86,84,82,84,76,98,88,83,80,52,73,71,84,71,78,40,41,0,73,92,69,27,0,0,39,27
2023-09-01,82,55,59,29,67,33,63,65,83,80,52,39,35,95,77,68,90,79,100,90,83,88,59,77,71,81,76,80,54,48,0,55,77,73,35,0,0,47,33
2023-10-01,80,45,64,30,69,31,54,73,84,77,59,46,47,93,88,77,88,80,96,87,82,84,63,77,84,88,78,82,47,41,0,86,96,75,44,0,0,50,39
2023-11-01,79,66,67,28,66,33,45,72,83,72,63,37,41,95,81,89,86,83,90,88,89,76,58,77,77,83,69,83,46,41,83,83,76,80,39,0,0,50,47
2023-12-01,76,34,60,34,68,37,0,71,89,68,46,37,42,95,86,84,85,86,88,90,93,85,62,77,79,89,82,92,56,50,0,84,75,90,26,0,0,46,39
2024-01-01,82,73,68,23,64,38,43,73,91,71,57,38,45,92,90,100,87,91,91,98,100,87,60,82,81,97,80,97,75,98,0,75,90,99,25,0,0,29,46
2024-02-01,84,92,68,0,64,32,0,71,100,65,41,38,41,93,100,86,84,94,95,100,83,96,58,86,92,100,87,100,76,100,0,75,100,100,21,0,0,35,42
2024-03-01,86,100,67,0,63,21,46,69,87,73,61,38,39,89,87,82,90,87,91,86,88,90,56,77,84,89,81,89,34,99,0,99,83,89,0,0,0,49,42
2024-04-01,77,56,69,37,64,41,88,80,87,65,60,34,56,93,78,75,86,85,91,86,86,94,56,79,82,86,85,88,46,73,0,82,72,86,27,30,0,54,42
